track_name,artist_name,total_minutes,play_count,skips,completions,first_play,last_play,skip_rate
"You're On Your Own, Kid",Taylor Swift,2.1586166666666666,1,1,0,2025-09-11,2025-09-11,100.0
n.h.i.e.,21 Savage,2.1410833333333334,1,1,0,2025-08-04,2025-08-04,100.0
Aura,Shubh,2.118333333333333,1,0,1,2025-03-17,2025-03-17,0.0
Sahiba,Aditya Rikhari,2.08305,2,2,0,2025-09-01,2025-09-05,100.0
O Mere Khuda,Atif Aslam,2.066333333333333,1,0,1,2025-07-17,2025-07-17,0.0
Iraaday,Rovalio,2.0582666666666665,1,1,0,2025-09-05,2025-09-05,100.0
Jiyein Kyun,Pritam,2.05015,2,2,0,2025-09-05,2025-11-07,100.0
Peela Rung,Hassan Ali Hashmi,2.0285,1,1,0,2025-08-09,2025-08-09,100.0
Wicked Game,Chris Isaak,2.0,1,0,1,2025-11-18,2025-11-18,0.0
Cigarettes out the Window,TV Girl,1.9965833333333334,3,3,0,2025-09-01,2025-10-27,100.0
Saiyaara Reprise - Female,Tanishk Bagchi,1.9181666666666666,1,1,0,2025-07-30,2025-07-30,100.0
"Good Luck, Babe!",Chappell Roan,1.8448333333333333,1,1,0,2025-11-04,2025-11-04,100.0
Mask Off,Future,1.8315666666666668,2,2,0,2025-04-08,2025-04-12,100.0
Rich Flex,Drake,1.8194333333333332,1,1,0,2025-09-23,2025-09-23,100.0
Jhoom - R&B Mix,Ali Zafar,1.7912666666666666,1,1,0,2025-09-10,2025-09-10,100.0
BAND4BAND (feat. Lil Baby),Central Cee,1.7789666666666668,2,2,0,2025-09-10,2025-10-04,100.0
Kun Anta - Vocal Version,Abu ubayda,1.7773333333333334,1,0,1,2025-03-21,2025-03-21,0.0
Lamhey,Anubha Bajaj,1.7708,1,1,0,2025-04-12,2025-04-12,100.0
Bayaan,Navjot Ahuja,1.7596166666666666,1,1,0,2025-11-04,2025-11-04,100.0
Pink + White,Frank Ocean,1.7524499999999998,2,2,0,2025-09-01,2025-09-10,100.0
"Abhi Na Jao Chhod Kar Film Version 2 (From ""Rocky Aur Rani Kii Prem Kahaani"")",Shashwat Singh,1.7325,1,0,1,2025-02-21,2025-02-21,0.0
"Lover, You Should've Come Over",Jeff Buckley,1.7305833333333336,2,1,1,2025-09-15,2025-11-21,50.0
Pehli Si Muhabbat (Original Motion Picture Soundtrack),Ali Zafar,1.7305833333333334,1,1,0,2025-10-15,2025-10-15,100.0
The Great War,Taylor Swift,1.7289,5,3,2,2025-02-07,2025-11-13,60.0
